px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
6.81378	-13.0593	-2.63226	-0.45615	-1.25259	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	0.330241
6.67065	-13.0017	-2.6491	-0.517137	-1.24217	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0.100151
6.57229	-12.9903	-2.47301	-0.510674	-1.10653	6.40137	-13.0799	6.4	-13.05	-2.72678	0	5.38322
6.42993	-12.9381	-2.49819	-0.55612	-1.08788	6.26174	-13.0534	6.25	-13.05	-2.72678	0	0.240382
6.30125	-12.8967	-2.46458	-0.580272	-1.03257	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	0.78218
6.15677	-12.84	-2.49432	-0.616365	-1.00886	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	0.333345
6.00626	-12.7224	-2.69221	-0.716157	-1.10894	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	4.79717
5.87254	-12.6508	-2.72054	-0.74976	-1.08474	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	0.32274
5.76585	-12.599	-2.5738	-0.753138	-0.987558	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	4.75845
5.62999	-12.522	-2.59805	-0.782282	-0.961043	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	0.30294
5.48859	-12.4107	-2.70006	-0.835059	-0.976718	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	0.942777
5.34934	-12.3242	-2.72543	-0.857728	-0.944871	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	0.384538
5.22645	-12.2468	-2.69443	-0.872123	-0.89842	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	0.645203
5.10019	-12.1511	-2.71203	-0.896555	-0.873302	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	0.215668
4.98135	-12.0417	-2.75838	-0.926669	-0.862173	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	0.432732
4.87472	-11.9474	-2.76898	-0.94923	-0.841972	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	0.155548
4.76669	-11.8251	-2.81154	-0.987286	-0.839613	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	0.197618
4.67645	-11.7009	-2.81402	-1.02684	-0.833141	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0.0167695
4.62476	-11.6074	-2.66023	-1.05967	-0.805198	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	3.11254
4.55108	-11.4863	-2.65922	-1.09842	-0.800137	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0.0440809
4.40105	-11.3006	-3.02438	-1.12211	-0.804521	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	15.178
4.3544	-11.1588	-3.01976	-1.17341	-0.81562	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0.0422567
4.39673	-11.0386	-2.76555	-1.27097	-0.866566	4.43713	-11.024	4.45	-11.05	0	1.81614	7.55993
4.36828	-10.8917	-2.76116	-1.32699	-0.875115	4.45136	-10.93	4.45	-10.95	0	1.81612	0.0501826
4.35694	-10.7442	-2.7489	-1.38938	-0.890305	4.44745	-10.786	4.45	-10.8	0	2.72555	0.0963865
4.34946	-10.5942	-2.74526	-1.44883	-0.900933	4.45788	-10.6457	4.45	-10.65	0	2.72554	0.086638
4.36047	-10.4527	-2.72409	-1.51532	-0.920963	4.46329	-10.5756	4.45	-10.5	0	2.729	0.274595
4.36639	-10.3034	-2.72309	-1.57264	-0.927627	4.44057	-10.3382	4.45	-10.35	0	2.72898	0.0405253
4.41188	-10.1577	-2.70034	-1.65708	-0.967548	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687	0.232229
4.44278	-10.0096	-2.70168	-1.71947	-0.976312	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685	0.0750619
4.47898	-9.86843	-2.70715	-1.77263	-0.96993	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927	0.358773
4.52618	-9.72285	-2.71074	-1.83432	-0.977457	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926	0.0789247
4.52393	-9.56329	-2.74798	-1.8293	-0.889143	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578	0.666679
4.58368	-9.4174	-2.7545	-1.88843	-0.897744	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576	0.171576
4.69218	-9.28241	-2.75603	-1.9861	-0.956428	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952	0.552727
4.77539	-9.14201	-2.76805	-2.04875	-0.964188	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951	0.180677
4.88288	-9.01583	-2.7876	-2.13572	-1.01509	4.95209	-8.96272	5	-9.05	0.999884	1.99977	0.166033
4.96645	-8.902	-2.78951	-2.1896	-1.01749	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974	0.0493099
5.03584	-8.78113	-2.77503	-2.20308	-0.945005	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708	0.811151
5.14053	-8.65719	-2.78582	-2.25945	-0.946972	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705	0.103511
5.25863	-8.5525	-2.8047	-2.32688	-0.97168	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957	0.156512
5.36428	-8.45028	-2.81252	-2.37758	-0.97209	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954	0.0468756
5.44876	-8.34409	-2.78018	-2.38403	-0.889478	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807	0.803663
5.56057	-8.24259	-2.77845	-2.43253	-0.889439	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808	0.00298941
5.62984	-8.11509	-2.74485	-2.4062	-0.759655	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608	1.2156
5.75203	-8.01078	-2.75674	-2.44873	-0.758292	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606	0.0783175
5.85173	-7.89129	-2.74909	-2.44474	-0.673634	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801	0.64248
5.97639	-7.79098	-2.76024	-2.48183	-0.672014	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801	0.0613336
6.07105	-7.67079	-2.74183	-2.46176	-0.566349	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798	0.925239
6.19463	-7.57435	-2.74954	-2.49286	-0.565272	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798	0.0293725
6.30265	-7.46408	-2.74055	-2.48452	-0.489629	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027	0.57055
6.42491	-7.37261	-2.74357	-2.51142	-0.48927	6.452	-7.36418	6.45	-7.35	1.82025	1.82025	0.0049483
6.55115	-7.28238	-2.77531	-2.55386	-0.529946	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908	0.667311
6.6743	-7.20085	-2.78677	-2.57944	-0.52794	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908	0.0586529
6.73172	-7.05722	-2.70784	-2.48594	-0.304186	6.68682	-6.93297	6.8	-7.05	0.908005	1.816	4.2798
6.85159	-6.96561	-2.71042	-2.50223	-0.303549	6.86356	-6.94732	6.85	-6.95	0.908	1.81601	0.00289511
6.99587	-6.89339	-2.73155	-2.55021	-0.359017	7.08741	-6.92602	7	-6.85	2.72856	1.81904	0.32226
7.12454	-6.80557	-2.73904	-2.56846	-0.35717	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902	0.0241329
7.21192	-6.68317	-2.6926	-2.50338	-0.197064	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202	2.504
7.3331	-6.5924	-2.69729	-2.51325	-0.195902	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018	0.00901834
7.50114	-6.56321	-2.75446	-2.62877	-0.393681	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884	3.6184
7.62432	-6.49344	-2.75971	-2.64755	-0.392552	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884	0.0115174
7.73832	-6.4068	-2.73653	-2.64218	-0.345607	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549	0.264863
7.8691	-6.33819	-2.73332	-2.66195	-0.34649	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545	0.00425073
7.99248	-6.26218	-2.71503	-2.66053	-0.306688	8.03231	-6.28406	8	-6.25	2.72931	1.81954	0.229275
8.12671	-6.18971	-2.71986	-2.67564	-0.304808	8.13749	-6.14586	8.15	-6.15	2.72928	1.81952	0.0122968
8.20581	-6.08172	-2.65955	-2.60838	-0.1544	8.21488	-6.01843	8.25	-6.05	1.99977	1.99976	2.45753
8.3226	-6.00821	-2.66616	-2.61351	-0.151678	8.33626	-5.94674	8.35	-5.95	1.99977	1.99976	0.0238986
8.48372	-5.9579	-2.71632	-2.67976	-0.261512	8.50318	-5.89335	8.5	-5.9	2.72796	0.909326	1.40277
8.6205	-5.88863	-2.72172	-2.69284	-0.260008	8.65894	-5.86309	8.65	-5.85	2.72796	0.909321	0.0129255
8.71192	-5.77419	-2.64991	-2.61727	-0.0958835	8.77185	-5.74314	8.75	-5.75	1.81776	1.81775	3.14584
8.84006	-5.69553	-2.65603	-2.61997	-0.0932542	8.85444	-5.64273	8.85	-5.65	1.81774	1.81773	0.0178984
8.9354	-5.59375	-2.62799	-2.56487	0.0156232	9.02394	-5.6024	8.95	-5.55	1.99657	1.99656	1.42609
9.047	-5.51531	-2.63413	-2.56115	0.018457	9.05088	-5.45385	9.05	-5.45	1.99654	1.99655	0.0228188
9.19208	-5.46094	-2.67647	-2.62778	-0.112673	9.04088	-5.29691	9.2	-5.4	2.72728	0.909094	2.66176
9.32257	-5.38231	-2.68343	-2.63117	-0.109997	9.34223	-5.32623	9.35	-5.35	2.72727	0.90909	0.0210327
9.40422	-5.25867	-2.61748	-2.5471	0.0495943	9.39579	-5.21659	9.45	-5.25	1.81816	1.81815	2.78146
9.52547	-5.17254	-2.62361	-2.54219	0.0517	9.55303	-5.13194	9.55	-5.15	1.81813	1.81813	0.0143323
9.62653	-5.06664	-2.59655	-2.48697	0.149686	9.75019	-5.14652	9.65	-5.05	1.82036	1.82036	1.42166
9.74083	-4.97397	-2.60226	-2.47652	0.151731	9.7586	-4.93134	9.75	-4.95	1.82036	1.82037	0.0126461
9.83693	-4.85392	-2.58967	-2.41664	0.242978	9.9198	-4.86941	9.85	-4.85	1.81578	1.81577	0.923051
9.94351	-4.75682	-2.59199	-2.40259	0.243568	9.95641	-4.74358	9.95	-4.75	1.81575	1.81575	0.00204974
10.0243	-4.61719	-2.58774	-2.33055	0.340433	10.0029	-4.54771	10.05	-4.6	1.82039	2.7306	0.742188
10.123	-4.50642	-2.59515	-2.30925	0.342565	10.1428	-4.45119	10.15	-4.45	1.8204	2.7306	0.0204165
10.2107	-4.37157	-2.60841	-2.26429	0.380746	10.1981	-4.26556	10.25	-4.3	1.81769	2.72652	0.164056
10.3058	-4.2492	-2.62183	-2.23982	0.383337	10.3644	-4.16342	10.35	-4.15	1.81768	2.7265	0.0644406
10.4435	-4.16786	-2.64623	-2.29355	0.253491	10.5985	-4.12247	10.45	-4.05	1.81792	1.81792	1.38579
10.5405	-4.04635	-2.65793	-2.27545	0.256484	10.5415	-3.9454	10.55	-3.95	1.8179	1.8179	0.0608609
10.6452	-3.9252	-2.67707	-2.26563	0.245634	10.7092	-3.85166	10.65	-3.85	1.81903	1.81904	0.0830027
10.7403	-3.80477	-2.68485	-2.25009	0.247094	10.7616	-3.75002	10.75	-3.75	1.81902	1.81903	0.0204849
10.7807	-3.64553	-2.66103	-2.14597	0.406282	10.795	-3.60617	10.8	-3.6	0.909773	2.72931	2.12962
10.859	-3.51571	-2.66732	-2.12144	0.407934	10.8527	-3.46164	10.85	-3.45	0.909764	2.72928	0.0177174
